Comment,Designator,Footprint,LCSC
47R,"R201,R301,R401,R501",R_0603_smalltext,C23182
EL814,"U201,U301,U401,U501",SMDIP-4_W9.53mm,C500388
SS53,"D201,D202,D203,D204,D301,D302,D303,D304,D401,D402,D403,D404,D501,D502,D503,D504",D_SMA,C8678
Conn_01x05_Socket,J102,PinSocket_1x05_P2.54mm_Horizontal,
Screw_Terminal_01x05,J101,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",
